CustomerKey,Recency,Frequency,Monetary_Value,RS,FS,MS,RFM_Segment,Customer_Segment
11054,228,3,8223.019999999999,2,5,5,255,At risk
11055,220,3,8168.009999999999,2,5,5,255,At risk
11056,227,3,8207.5,2,5,5,255,At risk
11057,237,3,8088.039999999999,2,5,5,255,At risk
11058,223,3,8248.019999999999,2,5,5,255,At risk
11059,303,3,116.92999999999999,1,5,3,153,At risk
11060,202,3,8153.019999999999,2,5,5,255,At risk
11061,213,3,8129.019999999999,2,5,5,255,At risk
11062,371,1,2351.9599999999996,1,1,4,114,Can't loose them
11063,366,1,2372.949999999999,1,1,4,114,Can't loose them
11064,353,1,2304.9799999999996,1,1,4,114,Can't loose them
11065,9,2,202.57,5,4,3,543,Loyal customers
11066,116,2,81.26,4,4,2,442,Potential loyalists
11067,8,2,105.74999999999999,5,4,3,543,Loyal customers
11068,97,3,113.36,4,5,3,453,Potential loyalists
11069,223,3,8104.049999999999,2,5,5,255,At risk
11070,201,3,8165.549999999998,2,5,5,255,At risk
11071,43,3,110.23,5,5,3,553,Potential loyalists
11072,212,3,8193.999999999998,2,5,5,255,At risk
11073,145,3,191.90000000000003,3,5,3,353,Potential loyalists
11074,231,3,94.19,2,5,3,253,At risk
11075,203,3,8068.029999999999,2,5,5,255,At risk
11076,206,3,8159.039999999999,2,5,5,255,At risk
11077,215,3,8169.029999999999,2,5,5,255,At risk
11078,0,17,913.2700000000001,5,5,3,553,Potential loyalists
11079,13,3,57.95,5,5,2,552,Potential loyalists
11080,204,3,8204.019999999999,2,5,5,255,At risk
11081,275,2,104.26,1,4,3,143,At risk
11082,68,2,3110.809999999999,4,4,4,444,Loyal customers
11083,66,2,3137.3199999999993,4,4,4,444,Loyal customers
11084,53,2,3078.609999999999,5,4,4,544,Champions
11085,10,2,128.96,5,4,3,543,Loyal customers
11086,23,2,153.45000000000002,5,4,3,543,Loyal customers
11087,157,2,200.28,3,4,3,343,Need attention
11088,62,2,3176.779999999999,4,4,4,444,Loyal customers
11089,56,2,3188.279999999999,5,4,4,544,Champions
11090,53,3,6704.08,5,5,5,555,Champions
11091,10,28,1189.3300000000002,5,5,4,554,Champions
11092,206,3,8110.019999999999,2,5,5,255,At risk
11093,219,3,8179.999999999998,2,5,5,255,At risk
11094,8,3,235.89000000000001,5,5,3,553,Potential loyalists
11095,202,3,8158.009999999998,2,5,5,255,At risk
11096,167,3,8063.039999999999,3,5,5,355,Loyal customers
11097,173,3,8099.029999999999,3,5,5,355,Loyal customers
11098,89,3,88.96,4,5,2,452,Potential loyalists
11099,196,3,8215.99,2,5,5,255,At risk
11100,159,3,8172.509999999998,3,5,5,355,Loyal customers
11101,198,3,8262.519999999999,2,5,5,255,At risk
11102,35,3,102.91,5,5,3,553,Potential loyalists
11103,221,3,8182.499999999999,2,5,5,255,At risk
11104,212,3,8173.029999999999,2,5,5,255,At risk
11105,222,3,8095.989999999999,2,5,5,255,At risk
11106,212,3,8079.049999999999,2,5,5,255,At risk
11107,206,3,8171.009999999998,2,5,5,255,At risk
11108,204,3,8124.039999999999,2,5,5,255,At risk
11109,203,3,8245.009999999998,2,5,5,255,At risk
11110,146,3,8093.029999999999,3,5,5,355,Loyal customers
11111,144,3,8136.999999999999,3,5,5,355,Loyal customers
11112,133,3,8295.019999999999,3,5,5,355,Loyal customers
11113,267,3,109.88000000000001,2,5,3,253,At risk
11114,18,3,122.88999999999999,5,5,3,553,Potential loyalists
11115,13,3,113.71000000000001,5,5,3,553,Potential loyalists
11116,89,3,148.7,4,5,3,453,Potential loyalists
11117,202,3,8184.99,2,5,5,255,At risk
11118,1,3,123.8,5,5,3,553,Potential loyalists
11119,51,2,85.22,5,4,2,542,Potential loyalists
11120,116,3,8242.49,4,5,5,455,Champions
11121,70,3,58.160000000000004,4,5,2,452,Potential loyalists
11122,144,3,42.93,3,5,2,352,Potential loyalists
11123,1,3,149.84,5,5,3,553,Potential loyalists
11124,209,3,8129.019999999999,2,5,5,255,At risk
11125,194,3,79.69,2,5,2,252,At risk
11126,71,3,4972.37,4,5,5,455,Champions
11127,104,2,43.980000000000004,4,4,2,442,Potential loyalists
11128,154,2,143.94,3,4,3,343,Need attention
11129,369,2,5873.26,1,4,5,145,At risk
11130,35,1,37.29,5,1,1,511,New customers
11131,2,5,165.91,5,5,3,553,Potential loyalists
11132,279,1,2371.939999999999,1,1,4,114,Can't loose them
11133,14,1,71.96,5,1,2,512,New customers
11134,71,3,4911.83,4,5,5,455,Champions
11135,270,1,2334.9699999999993,2,1,4,214,Can't loose them
11136,375,1,2380.47,1,1,4,114,Can't loose them
11137,4,2,202.57,5,4,3,543,Loyal customers
11138,14,2,78.97,5,4,2,542,Potential loyalists
11139,88,2,83.97,4,4,2,442,Potential loyalists
11140,300,1,39.99,1,1,2,112,Lost
11141,107,2,113.96000000000001,4,4,3,443,Need attention
11142,7,17,980.77,5,5,3,553,Potential loyalists
11143,25,2,48.56,5,4,2,542,Potential loyalists
11144,353,1,2399.9699999999993,1,1,4,114,Can't loose them
11145,353,1,2309.9699999999993,1,1,4,114,Can't loose them
11146,120,3,112.92999999999999,3,5,3,353,Potential loyalists
11147,89,3,8195.499999999998,4,5,5,455,Champions
11148,41,3,126.24000000000001,5,5,3,553,Potential loyalists
11149,45,3,41.26,5,5,2,552,Potential loyalists
11150,182,3,192.42000000000002,3,5,3,353,Potential loyalists
11151,85,3,8087.3099999999995,4,5,5,455,Champions
11152,369,1,2294.99,1,1,4,114,Can't loose them
11153,290,2,109.77,1,4,3,143,At risk
11154,368,1,2319.99,1,1,4,114,Can't loose them
11155,372,1,2319.99,1,1,4,114,Can't loose them
11156,370,1,2389.9699999999993,1,1,4,114,Can't loose them
11157,124,2,41.28,3,4,2,342,Potential loyalists
11158,359,1,2395.9599999999996,1,1,4,114,Can't loose them
11159,67,2,48.559999999999995,4,4,2,442,Potential loyalists
11160,326,1,2322.2799999999997,1,1,4,114,Can't loose them
11161,63,2,93.95000000000002,4,4,3,443,Need attention
11162,329,1,2329.9799999999996,1,1,4,114,Can't loose them
11163,161,2,46.27,3,4,2,342,Potential loyalists
11164,161,2,144.76,3,4,3,343,Need attention
11165,222,2,102.49,2,4,3,243,At risk
11166,38,2,87.96000000000001,5,4,2,542,Potential loyalists
11167,46,2,3126.3299999999995,5,4,4,544,Champions
11168,58,2,3136.5899999999992,4,4,4,444,Loyal customers
11169,111,2,81.26,4,4,2,442,Potential loyalists
11170,15,2,157.23000000000002,5,4,3,543,Loyal customers
11171,67,3,6716.55,4,5,5,455,Champions
11172,8,2,128.94,5,4,3,543,Loyal customers
11173,20,2,102.49000000000001,5,4,3,543,Loyal customers
11174,172,2,48.56,3,4,2,342,Potential loyalists
11175,71,3,6710.55,4,5,5,455,Champions
11176,0,28,1320.01,5,5,4,554,Champions
11177,91,2,135.25,4,4,3,443,Need attention
11178,232,2,144.76,2,4,3,243,At risk
11179,9,2,125.43999999999998,5,4,3,543,Loyal customers
11180,110,2,138.45,4,4,3,443,Need attention
11181,186,2,41.28,3,4,2,342,Potential loyalists
11182,11,2,81.26,5,4,2,542,Potential loyalists
11183,214,2,46.27,2,4,2,242,At risk
11184,96,2,68.25,4,4,2,442,Potential loyalists
11185,1,27,1616.3100000000002,5,5,4,554,Champions
11186,10,2,41.28,5,4,2,542,Potential loyalists
11187,160,2,107.47999999999999,3,4,3,343,Need attention
11188,3,2,81.26,5,4,2,542,Potential loyalists
11189,342,2,5944.219999999999,1,4,5,145,At risk
11190,6,2,46.269999999999996,5,4,2,542,Potential loyalists
11191,68,3,6743.58,4,5,5,455,Champions
11192,110,2,113.96000000000001,4,4,3,443,Need attention
11193,148,2,41.28,3,4,2,342,Potential loyalists
11194,36,2,105.75,5,4,3,543,Loyal customers
11195,83,2,105.74999999999999,4,4,3,443,Need attention
11196,111,2,162.28,4,4,3,443,Need attention
11197,177,2,207.56,3,4,3,343,Need attention
11198,334,2,98.47,1,4,3,143,At risk
11199,88,2,131.75,4,4,3,443,Need attention
11200,4,27,1463.38,5,5,4,554,Champions
11201,126,2,180.94,3,4,3,343,Need attention
11202,114,2,73.98,4,4,2,442,Potential loyalists
11203,33,17,801.77,5,5,3,553,Potential loyalists
11204,64,2,77.27000000000001,4,4,2,442,Potential loyalists
11205,97,2,37.29,4,4,1,441,Potential loyalists
11206,228,2,77.27000000000001,2,4,2,242,At risk
11207,87,2,77.27000000000001,4,4,2,442,Potential loyalists
11208,118,2,134.23,3,4,3,343,Need attention
11209,3,2,37.29,5,4,1,541,Potential loyalists
11210,129,2,70.76,3,4,2,342,Potential loyalists
11211,10,17,793.5500000000001,5,5,3,553,Potential loyalists
11212,5,17,827.19,5,5,3,553,Potential loyalists
11213,126,2,77.27000000000001,3,4,2,342,Potential loyalists
11214,55,2,162.28,5,4,3,543,Loyal customers
11215,29,17,1155.52,5,5,4,554,Champions
11216,342,2,5948.24,1,4,5,145,At risk
11217,333,2,5953.25,1,4,5,145,At risk
11218,12,2,39.58,5,4,1,541,Potential loyalists
11219,2,2,39.58,5,4,1,541,Potential loyalists
11220,31,2,50.230000000000004,5,4,2,542,Potential loyalists
11221,88,2,46.27,4,4,2,442,Potential loyalists
11222,46,2,207.96,5,4,3,543,Loyal customers
11223,11,27,1205.38,5,5,4,554,Champions
11224,41,3,6685.59,5,5,5,555,Champions
11225,129,2,73.25,3,4,2,342,Potential loyalists
11226,288,2,37.29,1,4,1,141,Lost
11227,337,2,5910.219999999999,1,4,5,145,At risk
11228,5,2,77.27000000000001,5,4,2,542,Potential loyalists
11229,1,2,81.26,5,4,2,542,Potential loyalists
11230,35,2,54.22,5,4,2,542,Potential loyalists
11231,62,2,64.26,4,4,2,442,Potential loyalists
11232,61,2,39.58,4,4,1,441,Potential loyalists
11233,219,2,179.43000000000004,2,4,3,243,At risk
11234,116,2,76.27000000000001,4,4,2,442,Potential loyalists
11235,11,2,138.45000000000002,5,4,3,543,Loyal customers
11236,11,2,113.96000000000001,5,4,3,543,Loyal customers
11237,49,4,10566.38,5,5,5,555,Champions
11238,258,4,7542.7699999999995,2,5,5,255,At risk
11239,230,4,7511.549999999998,2,5,5,255,At risk
11240,245,4,7586.229999999998,2,5,5,255,At risk
11241,76,7,11469.19,4,5,5,455,Champions
11242,40,7,11068.01,5,5,5,555,Champions
11243,218,4,7164.249999999998,2,5,5,255,At risk
11244,178,4,7175.749999999999,3,5,5,355,Loyal customers
11245,33,4,10580.349999999999,5,5,5,555,Champions
11246,24,4,10575.33,5,5,5,555,Champions
11247,149,4,7131.509999999998,3,5,5,355,Loyal customers
11248,183,1,38.47,3,1,1,311,New customers
11249,120,4,9890.27,3,5,5,355,Loyal customers
11250,160,4,7116.249999999998,3,5,5,355,Loyal customers
11251,87,1,2318.959999999999,4,1,4,414,Promising
11252,26,3,6685.5599999999995,5,5,5,555,Champions
11253,41,16,696.6100000000001,5,5,3,553,Potential loyalists
11254,30,2,203.92000000000002,5,4,3,543,Loyal customers
11255,288,2,113.96000000000001,1,4,3,143,At risk
11256,89,2,81.26,4,4,2,442,Potential loyalists
11257,30,3,6677.38,5,5,5,555,Champions
11258,182,2,49.230000000000004,3,4,2,342,Potential loyalists
11259,24,3,6770.6,5,5,5,555,Champions
11260,204,2,81.26,2,4,2,242,At risk
11261,21,3,6650.6,5,5,5,555,Champions
11262,3,27,1126.8200000000002,5,5,3,553,Potential loyalists
11263,34,3,6754.0599999999995,5,5,5,555,Champions
11264,44,2,3182.27,5,4,4,544,Champions
11265,375,1,2351.9599999999996,1,1,4,114,Can't loose them
11266,358,2,5922.23,1,4,5,145,At risk
11267,371,2,5943.23,1,4,5,145,At risk
11268,58,2,98.25,4,4,3,443,Need attention
11269,125,2,42.28,3,4,2,342,Potential loyalists
11270,371,2,5984.219999999999,1,4,5,145,At risk
11271,356,2,5973.24,1,4,5,145,At risk
11272,365,2,5975.23,1,4,5,145,At risk
11273,235,2,273.23,2,4,3,243,At risk
11274,323,2,5888.24,1,4,5,145,At risk
11275,366,2,5955.23,1,4,5,145,At risk
11276,3,27,988.3199999999999,5,5,3,553,Potential loyalists
11277,6,27,1434.9900000000002,5,5,4,554,Champions
11278,375,2,5908.25,1,4,5,145,At risk
11279,205,2,44.57,2,4,2,242,At risk
11280,158,2,77.27000000000001,3,4,2,342,Potential loyalists
11281,367,2,5921.19,1,4,5,145,At risk
11282,376,2,5998.73,1,4,5,145,At risk
11283,138,2,44.57,3,4,2,342,Potential loyalists
11284,256,2,55.480000000000004,2,4,2,242,At risk
11285,79,2,127.76,4,4,3,443,Need attention
11286,358,2,5954.219999999999,1,4,5,145,At risk
11287,0,27,1167.07,5,5,4,554,Champions
11288,145,2,77.27000000000001,3,4,2,342,Potential loyalists
11289,362,2,5905.48,1,4,5,145,At risk
11290,351,2,5933.25,1,4,5,145,At risk
11291,359,2,5873.26,1,4,5,145,At risk
11292,378,2,5910.219999999999,1,4,5,145,At risk
11293,304,2,85.22000000000001,1,4,2,142,At risk
11294,12,2,42.28,5,4,2,542,Potential loyalists
11295,369,2,6058.25,1,4,5,145,At risk
11296,349,2,5897.53,1,4,5,145,At risk
11297,327,2,5948.24,1,4,5,145,At risk
11298,326,2,5922.23,1,4,5,145,At risk
11299,323,2,6015.24,1,4,5,145,At risk
11300,14,27,1500.5200000000002,5,5,4,554,Champions
11301,94,2,131.26000000000002,4,4,3,443,Need attention
11302,345,2,5938.19,1,4,5,145,At risk
11303,324,2,5875.55,1,4,5,145,At risk
11304,266,2,122.21000000000001,2,4,3,243,At risk
11305,162,2,77.27000000000001,3,4,2,342,Potential loyalists
11306,128,2,42.28,3,4,2,342,Potential loyalists
11307,339,2,5964.219999999999,1,4,5,145,At risk
11308,6,2,94.26,5,4,3,543,Loyal customers
11309,11,2,42.28,5,4,2,542,Potential loyalists
11310,20,2,77.27000000000001,5,4,2,542,Potential loyalists
11311,122,2,77.27000000000001,3,4,2,342,Potential loyalists
11312,225,2,42.28,2,4,2,242,At risk
11313,48,2,44.57,5,4,2,542,Potential loyalists
11314,41,2,47.53,5,4,2,542,Potential loyalists
11315,27,2,42.28,5,4,2,542,Potential loyalists
11316,366,1,2349.9799999999996,1,1,4,114,Can't loose them
11317,329,2,5873.26,1,4,5,145,At risk
11318,66,2,44.57,4,4,2,442,Potential loyalists
11319,323,2,5930.23,1,4,5,145,At risk
11320,147,2,72.21000000000001,3,4,2,342,Potential loyalists
11321,230,2,37.29,2,4,1,241,Hibernating
11322,237,2,44.57,2,4,2,242,At risk
11323,348,2,6074.54,1,4,5,145,At risk
11324,342,2,5945.23,1,4,5,145,At risk
11325,347,2,6044.199999999999,1,4,5,145,At risk
11326,327,2,5948.24,1,4,5,145,At risk
11327,346,2,5915.54,1,4,5,145,At risk
11328,281,2,4718.039999999999,1,4,5,145,At risk
11329,337,2,5898.26,1,4,5,145,At risk
11330,3,27,1136.35,5,5,3,553,Potential loyalists
11331,2,27,1329.31,5,5,4,554,Champions
11332,372,2,5754.969999999999,1,4,5,145,At risk
11333,183,3,8163.3099999999995,3,5,5,355,Loyal customers
11334,170,3,8154.019999999999,3,5,5,355,Loyal customers
11335,374,2,5744.249999999999,1,4,5,145,At risk
11336,373,2,4441.379999999999,1,4,5,145,At risk
11337,178,3,8161.999999999999,3,5,5,355,Loyal customers
11338,379,2,5744.949999999999,1,4,5,145,At risk
11339,353,2,4379.08,1,4,5,145,At risk
11340,376,2,4413.0599999999995,1,4,5,145,At risk
11341,178,3,8191.999999999999,3,5,5,355,Loyal customers
11342,185,1,48.97,3,1,2,312,About to sleep
11343,173,3,8221.99,3,5,5,355,Loyal customers
11344,174,3,8119.8099999999995,3,5,5,355,Loyal customers
11345,378,2,4404.09,1,4,5,145,At risk
11346,336,2,4503.049999999999,1,4,5,145,At risk
11347,303,1,13.98,1,1,1,111,Lost
11348,288,1,67.97,1,1,2,112,Lost
11349,7,1,67.97,5,1,2,512,New customers
11350,342,1,38.47,1,1,1,111,Lost
11351,138,3,8068.029999999999,3,5,5,355,Loyal customers
11352,257,1,13.98,2,1,1,211,Hibernating
11353,158,3,8078.019999999999,3,5,5,355,Loyal customers
11354,41,1,22.97,5,1,1,511,New customers
11355,109,1,13.98,4,1,1,411,New customers
11356,74,3,5069.289999999999,4,5,5,455,Champions
11357,76,3,4943.799999999999,4,5,5,455,Champions
11358,60,3,5034.779999999999,4,5,5,455,Champions
11359,40,3,4960.07,5,5,5,555,Champions
11360,22,3,5025.799999999999,5,5,5,555,Champions
11361,50,2,114.96000000000001,5,4,3,543,Loyal customers
11362,111,2,77.27,4,4,2,442,Potential loyalists
11363,26,3,5035.8099999999995,5,5,5,555,Champions
11364,18,3,4921.82,5,5,5,555,Champions
11365,22,3,5024.789999999999,5,5,5,555,Champions
11366,151,2,77.27000000000001,3,4,2,342,Potential loyalists
11367,49,2,86.26,5,4,2,542,Potential loyalists
11368,43,3,5106.239999999999,5,5,5,555,Champions
11369,17,2,118.96000000000001,5,4,3,543,Loyal customers
11370,104,2,79.97,4,4,2,442,Potential loyalists
11371,16,2,74.98,5,4,2,542,Potential loyalists
11372,30,3,4965.8099999999995,5,5,5,555,Champions
11373,139,1,38.47,3,1,1,311,New customers
11374,273,1,68.97,1,1,2,112,Lost
11375,88,1,13.98,4,1,1,411,New customers
11376,90,1,78.48,4,1,2,412,New customers
11377,319,1,83.97,1,1,2,112,Lost
11378,333,2,4436.389999999999,1,4,5,145,At risk
11379,321,2,4426.0599999999995,1,4,5,145,At risk
11380,344,2,5837.909999999999,1,4,5,145,At risk
11381,148,3,8161.019999999999,3,5,5,355,Loyal customers
11382,331,2,4344.09,1,4,5,145,At risk
11383,13,1,48.97,5,1,2,512,New customers
11384,164,1,48.97,3,1,2,312,About to sleep
11385,191,1,13.98,2,1,1,211,Hibernating
11386,72,1,68.97,4,1,2,412,New customers
11387,287,3,6958.799999999999,1,5,5,155,Can't loose them
11388,262,3,6986.749999999998,2,5,5,255,At risk
11389,57,1,68.97,4,1,2,412,New customers
11390,67,1,48.97,4,1,2,412,New customers
11391,79,1,33.98,4,1,1,411,New customers
11392,290,1,28.99,1,1,1,111,Lost
11393,181,1,13.98,3,1,1,311,New customers
11394,164,3,8161.969999999999,3,5,5,355,Loyal customers
11395,327,2,5729.969999999999,1,4,5,145,At risk
11396,79,1,28.99,4,1,1,411,New customers
11397,190,1,38.47,2,1,1,211,Hibernating
11398,164,3,8114.039999999999,3,5,5,355,Loyal customers
11399,275,1,13.98,1,1,1,111,Lost
11400,178,3,6967.779999999999,3,5,5,355,Loyal customers
11401,311,3,5020.869999999999,1,5,5,155,Can't loose them
11402,286,3,5059.329999999999,1,5,5,155,Can't loose them
11403,230,3,5033.139999999999,2,5,5,255,At risk
11404,337,1,33.98,1,1,1,111,Lost
11405,288,1,53.99,1,1,2,112,Lost
11406,338,2,4415.039999999999,1,4,5,145,At risk
11407,204,1,53.99,2,1,2,212,Hibernating
11408,314,1,34.47,1,1,1,111,Lost
11409,350,2,4444.07,1,4,5,145,At risk
11410,343,2,4464.07,1,4,5,145,At risk
11411,162,1,38.47,3,1,1,311,New customers
11412,94,4,9879.96,4,5,5,455,Champions
11413,130,4,7189.749999999999,3,5,5,355,Loyal customers
11414,120,4,7191.7699999999995,3,5,5,355,Loyal customers
11415,150,1,13.98,3,1,1,311,New customers
11416,253,3,4928.0599999999995,2,5,5,255,At risk
11417,29,7,11248.46,5,5,5,555,Champions
11418,27,1,39.980000000000004,5,1,1,511,New customers
11419,200,2,231.75000000000003,2,4,3,243,At risk
11420,45,7,11200.77,5,5,5,555,Champions
11421,96,4,9780.039999999999,4,5,5,455,Champions
11422,71,4,7075.269999999999,4,5,5,455,Champions
11423,85,4,9904.97,4,5,5,455,Champions
11424,267,1,43.980000000000004,2,1,2,212,Hibernating
11425,23,6,10528.63,5,5,5,555,Champions
11426,279,1,34.99,1,1,1,111,Lost
11427,85,4,9917.99,4,5,5,455,Champions
11428,83,4,9954.26,4,5,5,455,Champions
11429,20,6,10468.380000000001,5,5,5,555,Champions
11430,300,1,84.98,1,1,2,112,Lost
11431,105,4,9912.98,4,5,5,455,Champions
11432,19,6,9330.199999999999,5,5,5,555,Champions
11433,121,6,12909.67,3,5,5,355,Loyal customers
11434,182,2,70.46,3,4,2,342,Potential loyalists
11435,12,1,34.99,5,1,1,511,New customers
11436,208,2,81.76,2,4,2,242,At risk
11437,25,1,53.99,5,1,2,512,New customers
11438,342,1,34.99,1,1,1,111,Lost
11439,85,6,12489.169999999998,4,5,5,455,Champions
11440,292,1,78.48,1,1,2,112,Lost
11441,10,1,43.980000000000004,5,1,2,512,New customers
11442,106,1,34.99,4,1,1,411,New customers
11443,104,3,8235.0,4,5,5,455,Champions
11444,225,3,8136.019999999999,2,5,5,255,At risk
11445,199,3,8098.029999999999,2,5,5,255,At risk
11446,206,3,8237.009999999998,2,5,5,255,At risk
11447,227,3,8078.019999999999,2,5,5,255,At risk
11448,206,3,8132.009999999998,2,5,5,255,At risk
11449,203,3,8130.32,2,5,5,255,At risk
11450,210,3,8173.259999999998,2,5,5,255,At risk
11451,222,3,8249.49,2,5,5,255,At risk
11452,215,3,8183.039999999999,2,5,5,255,At risk
11453,208,3,8176.98,2,5,5,255,At risk
11454,209,3,8089.039999999999,2,5,5,255,At risk
11455,227,3,8142.029999999999,2,5,5,255,At risk
11456,227,3,8224.46,2,5,5,255,At risk
11457,226,3,8211.48,2,5,5,255,At risk
11458,5,3,96.88999999999999,5,5,3,553,Potential loyalists
11459,209,3,8141.33,2,5,5,255,At risk
11460,217,3,8137.519999999999,2,5,5,255,At risk
11461,176,3,8089.039999999999,3,5,5,355,Loyal customers
11462,172,3,8116.33,3,5,5,355,Loyal customers
11463,31,3,47.92,5,5,2,552,Potential loyalists
11464,196,3,8128.509999999998,2,5,5,255,At risk
11465,184,3,8158.039999999999,3,5,5,355,Loyal customers
11466,145,3,90.19000000000001,3,5,2,352,Potential loyalists
11467,13,3,55.870000000000005,5,5,2,552,Potential loyalists
11468,145,3,6959.82,3,5,5,355,Loyal customers
11469,157,1,25.479999999999997,3,1,1,311,New customers
11470,326,2,4344.09,1,4,5,145,At risk
11471,241,1,53.99,2,1,2,212,Hibernating
11472,79,3,8165.82,4,5,5,455,Champions
11473,225,1,62.980000000000004,2,1,2,212,Hibernating
11474,109,1,49.97,4,1,2,412,New customers
11475,265,1,69.46,2,1,2,212,Hibernating
11476,73,1,53.99,4,1,2,412,New customers
11477,110,1,34.99,4,1,1,411,New customers
11478,269,1,53.99,2,1,2,212,Hibernating
11479,234,3,4970.61,2,5,5,255,At risk
11480,172,3,4935.359999999999,3,5,5,355,Loyal customers
11481,267,3,4978.049999999999,2,5,5,255,At risk
11482,125,3,8143.029999999999,3,5,5,355,Loyal customers
11483,178,3,4966.389999999999,3,5,5,355,Loyal customers
11484,289,3,4985.379999999999,1,5,5,155,Can't loose them
11485,123,3,7048.299999999999,3,5,5,355,Loyal customers
11486,50,1,34.99,5,1,1,511,New customers
11487,29,1,53.99,5,1,2,512,New customers
11488,136,3,8090.33,3,5,5,355,Loyal customers
11489,107,3,8127.509999999998,4,5,5,455,Champions
11490,284,1,53.99,1,1,2,112,Lost
11491,128,3,8158.009999999998,3,5,5,355,Loyal customers
11492,328,2,4404.08,1,4,5,145,At risk
11493,123,3,6958.799999999999,3,5,5,355,Loyal customers
11494,105,3,6973.8099999999995,4,5,5,455,Champions
11495,79,1,13.98,4,1,1,411,New customers
11496,69,3,7013.789999999999,4,5,5,455,Champions
11497,70,1,34.99,4,1,1,411,New customers
11498,9,16,561.53,5,5,3,553,Potential loyalists
11499,198,2,192.21,2,4,3,243,At risk
11500,9,16,654.27,5,5,3,553,Potential loyalists
11501,3,16,872.25,5,5,3,553,Potential loyalists
11502,0,16,1026.29,5,5,3,553,Potential loyalists
11503,36,2,61.779999999999994,5,4,2,542,Potential loyalists
11504,255,2,44.57,2,4,2,242,At risk
11505,20,16,846.7700000000001,5,5,3,553,Potential loyalists
11506,3,16,748.6000000000001,5,5,3,553,Potential loyalists
11507,4,16,653.06,5,5,3,553,Potential loyalists
11508,244,2,77.27000000000001,2,4,2,242,At risk
11509,168,1,196.29,3,1,3,313,Promising
11510,18,5,258.15000000000003,5,5,3,553,Potential loyalists
11511,306,1,35.0,1,1,1,111,Lost
11512,16,1,2319.99,5,1,4,514,Promising
11513,219,1,863.95,2,1,3,213,About to sleep
11514,203,1,39.99,2,1,2,212,Hibernating
11515,268,2,5930.23,2,4,5,245,At risk
11516,211,2,5915.54,2,4,5,245,At risk
11517,143,2,101.76,3,4,3,343,Need attention
11518,63,2,82.19999999999999,4,4,2,442,Potential loyalists
11519,8,16,757.27,5,5,3,553,Potential loyalists
